timestamp,action,symbol,decision,quantity,price,reason,score,cash_before,cash_after,portfolio_value,pnl_realized,pnl_unrealized
2026-04-24T10:54:13.589927,PORTFOLIO_UPDATE,,,,,,,,,,,
2026-04-24T10:54:17.257584,PORTFOLIO_UPDATE,,,,,,,,,,,
2026-04-24T10:54:20.330164,PORTFOLIO_UPDATE,,,,,,,,,,,
2026-04-24T10:54:23.352986,PORTFOLIO_UPDATE,,,,,,,,,,,
2026-04-24T10:54:26.867111,SIGNAL,MA,,,,score_10.0_momentum_0.0078,10.02,,,,,
2026-04-24T10:54:26.870898,DECISION,MA,BUY,,,score_10.0_momentum_0.0078,10.02,,,,,
2026-04-24T10:54:26.872806,RISK_CHECK,MA,,100,285.09,position_size_exceeds_limit_35,,,,,,
2026-04-24T10:54:27.116051,PORTFOLIO_UPDATE,,,,,,,,,,,
2026-04-24T10:54:30.442248,SIGNAL,MCHP,,,,score_8.3_momentum_0.0060,8.26,,,,,
2026-04-24T10:54:30.442954,DECISION,MCHP,BUY,,,score_8.3_momentum_0.0060,8.26,,,,,
2026-04-24T10:54:30.443582,RISK_CHECK,MCHP,,100,302.83,position_size_exceeds_limit_33,,,,,,
2026-04-24T10:54:30.619709,PORTFOLIO_UPDATE,,,,,,,,,,,
2026-04-24T10:54:33.691856,PORTFOLIO_UPDATE,,,,,,,,,,,
2026-04-24T10:54:37.242406,PORTFOLIO_UPDATE,,,,,,,,,,,
2026-04-24T10:54:39.939576,PORTFOLIO_UPDATE,,,,,,,,,,,
2026-04-24T10:54:42.779442,SIGNAL,OKTA,,,,score_11.5_momentum_0.0032,11.48,,,,,
2026-04-24T10:54:42.780336,DECISION,OKTA,BUY,,,score_11.5_momentum_0.0032,11.48,,,,,
2026-04-24T10:54:42.781090,RISK_CHECK,OKTA,,100,345.71,position_size_exceeds_limit_29,,,,,,
2026-04-24T10:54:42.781777,SIGNAL,NIO,,,,score_10.5_momentum_0.0050,10.54,,,,,
2026-04-24T10:54:42.782575,DECISION,NIO,BUY,,,score_10.5_momentum_0.0050,10.54,,,,,
2026-04-24T10:54:42.783343,RISK_CHECK,NIO,,100,259.82,position_size_exceeds_limit_38,,,,,,
2026-04-24T10:54:42.971534,PORTFOLIO_UPDATE,,,,,,,,,,,
2026-04-24T10:54:46.432061,SIGNAL,AMZN,,,,score_11.4_momentum_0.0158,11.43,,,,,
2026-04-24T10:54:46.433013,DECISION,AMZN,BUY,,,score_11.4_momentum_0.0158,11.43,,,,,
2026-04-24T10:54:46.433892,RISK_CHECK,AMZN,,100,311.04,position_size_exceeds_limit_32,,,,,,
